id,fieldGood,fieldModel
11933,Грунт акриловый биозащитный для дерева,Siberian
10038,Грунт акриловый биозащитный для дерева,Siberian
10544,Грунт акриловый глубокопроникающий,с индикатором
16402,Грунт акриловый,Zapon 2-х компонентный
11081,Грунтовка антикоррозионная,Metallista Primer
6197,Антисептик для дерева,Extrime Climate на водной основе
16395,Грунт барьерный водный для деревянных домов,-
16396,Грунт барьерный для деревянных домов,-
10097,Грунт биозащитный для дерева,Siberian
10100,Грунт биозащитный для дерева,Siberian
11153,Грунтовка биозащитная для древесины,Valtti Expert Base
11156,Грунтовка биозащитная для древесины,Valtti Expert Base
5970,Грунт адгезионный,PROF IT
6245,Грунт адгезионный,G150 Beton kontakt с мраморной крошкой
5997,Грунт адгезионный,G150 Beton kontakt с мраморной крошкой
5984,Грунт адгезионный,PROF IT Кварц
9171,Грунт антисептический для деревянных поверхностей,BioGrunt
9172,Грунт антисептический для деревянных поверхностей,BioGrunt
16410,Грунт барьерный водный для деревянных домов,-
15241,Грунт бетон-контакт,PROF IT
15240,Грунт бетон-контакт,PROF IT
9710,Грунт бетон-контакт,СТ 19
9712,Грунт бетон-контакт,СТ 19 морозостойкий
8309,Грунт влагоизолирующий,Акваизол концентрат 1:4
8315,Грунт влагоизолирующий,Акваизол концентрат 1:9
5469,Грунт глубокого проникновения,Premium Hydrosol Primer
12044,Грунт глубокого проникновения,Putzgrund D 313
16802,Грунт глубокого проникновения,PRIMER
16801,Грунт глубокого проникновения,PRIMER
6092,Грунт,ГФ-021
6196,Грунт,ГФ-021
6080,Грунт,ГФ-021
6086,Грунт,ГФ-021
13947,Грунт акриловый,Tiefgrund D 314
9716,Грунт глубокого проникновения,СТ 17 Pro
9719,Грунт глубокого проникновения,СТ 17 Pro
9721,Грунт глубокого проникновения,СТ 17 Pro
9713,Грунт,CT 16 Quartz Contact
9714,Грунт,CT 16 Quartz Contact
5186,Грунт,Retail Kontakt-Quarzgrund RD328 глубокоматовый
7254,Грунт,-
14585,Грунт,Бетонконтакт
14592,Грунт,Бетонконтакт
15897,Грунт,Crilux
15898,Грунт,Crilux
7122,Грунт для лака,для водного паркетного лака
16384,Грунт для восстановления древесины,Rinova
16403,Грунт для восстановления древесины,Rinova
8322,Грунт для гладких поверхностей,Бетонконтакт готовый состав
13036,Грунт для гладких поверхностей,Бетонконтакт готовый состав
16411,Грунт для запечатывания торцов,-
13601,Грунт для защиты древесины,Wood Base с биоцидом
13604,Грунт для защиты древесины,Wood Base с биоцидом
14163,Грунт для защиты древесины,Wood Base Aqua
14165,Грунт для защиты древесины,Wood Base Aqua
8729,Грунт для защиты древесины,Base
12966,Грунт для защиты древесины,Base
11835,Грунт для защиты древесины,Base
8731,Грунт для защиты древесины,Base
9320,Грунт для защиты торцов древесины,Tor Plus
9316,Грунт для защиты торцов древесины,Tor Plus
9318,Грунт для защиты торцов древесины,Tor Plus
16394,Грунт для паркета,Turapori Naturaqua
9182,Грунт для плит OSB и SIP-панелей,-
12181,Грунт для плит OSB и SIP-панелей,-
15422,Грунт для фактурных декоративных покрытий,Primer al Quarzo
12648,Грунт акриловый для фасада глубокого проникновения,Maestro глубокоматовый
11906,Грунт для цветных металлов и сплавов,Special Metals Primer
11910,Грунт для черных металлов антикоррозийный,Rust Beater
9183,Грунт изолирующий полиуретановый для OSB,-
9184,Грунт изолирующий полиуретановый для OSB,-
9185,Грунт изолирующий полиуретановый для OSB,-
16799,Грунт кварцевый,PRIMER DI QUARZO
16800,Грунт кварцевый,PRIMER DI QUARZO
6063,Грунт под декоративные покрытия,G100 Putzgrund
5854,Грунт под декоративные покрытия,G100 Putzgrund
14225,Грунт под покрытие декоративное кварцевый,Creative Primer Di Quarzo матовый
14226,Грунт под покрытие декоративное кварцевый,Creative Primer Di Quarzo матовый
15900,Грунт под покрытие декоративное,IL Primer
15899,Грунт под покрытие декоративное,IL Primer
8325,Грунт укрепляющий,готовый состав
16796,Грунт укрывающий,BASE
16797,Грунт укрывающий,BASE
16795,Грунт укрывающий,BASE
5916,Грунт универсальный акриловый,G30 против плесени
12273,Грунт универсальный в/д,Bindo Base
11293,Грунт универсальный глубокого проникновения,Prof Base
16393,Грунт,Turapori спрей
15887,Грунт,Blankor
15896,Грунт,Blankor
9337,Грунт-влагоизолятор,ВлагоStop Bio Proff 710 концентрат 1:9
9332,Грунт-влагоизолятор,ВлагоStop Bio 700 концентрат 1:4
16385,Грунт-изолятор,для золочения
14010,Грунт-концентрат,Водостоп-акрил
14185,Грунт-концентрат,Гипс-плюс
15982,Грунт-концентрат акриловый,ACRYLIC PRIMER 1:3
5829,Грунтовка акриловая глубокого проникновения,концентрат
6201,Грунт акриловый глубокого проникновения,концентрат
15687,Грунт-левкас,акриловый
16220,Грунт-эмаль по металлу,Klondike 3в1 глянцевая по ржавчине
16180,Грунт-эмаль алкидная,RAPID-LACK шелковисто-матовая
16203,Грунт-эмаль алкидная,RAPID-LACK шелковисто-матовая
16211,Грунт-эмаль алкидная,RAPID-LACK шелковисто-матовая
16189,Грунт-эмаль алкидная,RAPID-LACK шелковисто-матовая
16212,Грунт-эмаль алкидная,RAPID-LACK шелковисто-матовая
16185,Грунт-эмаль алкидная,RAPID-LACK шелковисто-матовая
16197,Грунт-эмаль алкидная,RAPID-LACK шелковисто-матовая
16200,Грунт-эмаль алкидная,RAPID-LACK шелковисто-матовая
17065,Грунт-эмаль антикоррозионная,ХВ-0278
14403,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14413,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14420,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14429,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14437,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14443,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14450,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14456,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14462,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14466,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14472,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14477,Грунт-эмаль графитовая по ржавчине,3в1 матовая
14483,Грунт-эмаль графитовая по ржавчине,3в1 матовая
10007,Грунт-эмаль для металлических поверхностей,Титан 3в1 гладкая
10010,Грунт-эмаль для металлических поверхностей,Титан 3в1 гладкая
10013,Грунт-эмаль для металлических поверхностей,Титан 3в1 гладкая
10016,Грунт-эмаль для металлических поверхностей,Титан 3в1 гладкая
10019,Грунт-эмаль для металлических поверхностей,Титан 3в1 гладкая
10022,Грунт-эмаль для металлических поверхностей,Титан 3в1 гладкая
10034,Грунт-эмаль для металлических поверхностей,Титан 3в1 гладкая
10044,Грунт-эмаль для металлических поверхностей,Титан 3в1 гладкая
14488,Грунт-эмаль молотковая по ржавчине,3в1
14493,Грунт-эмаль молотковая по ржавчине,3в1
14496,Грунт-эмаль молотковая по ржавчине,3в1
14501,Грунт-эмаль молотковая по ржавчине,3в1
14512,Грунт-эмаль молотковая по ржавчине,3в1
14519,Грунт-эмаль молотковая по ржавчине,3в1
14526,Грунт-эмаль молотковая по ржавчине,3в1
